,ticker,Date,Posible_compra
33591,SIVB,2010-02-14,No
33592,SIVB,2010-05-15,No
33593,SIVB,2010-08-14,No
33594,SIVB,2010-11-14,No
33595,SIVB,2011-02-14,No
33596,SIVB,2011-05-15,No
33597,SIVB,2011-08-14,No
33598,SIVB,2011-11-14,No
33599,SIVB,2012-02-14,No
33600,SIVB,2012-05-15,No
33601,SIVB,2012-08-14,No
33602,SIVB,2012-11-14,No
33603,SIVB,2013-02-14,No
33604,SIVB,2013-05-15,No
33605,SIVB,2013-08-14,No
33606,SIVB,2013-11-14,No
33607,SIVB,2014-02-14,No
33608,SIVB,2014-05-15,No
33609,SIVB,2014-08-14,No
33610,SIVB,2014-11-14,No
33611,SIVB,2015-02-14,No
33612,SIVB,2015-05-15,No
33613,SIVB,2015-08-14,No
33614,SIVB,2015-11-14,No
33615,SIVB,2016-02-14,No
33616,SIVB,2016-05-15,No
33617,SIVB,2016-08-14,No
33618,SIVB,2016-11-14,No
33619,SIVB,2017-02-14,No
33620,SIVB,2017-05-15,No
33621,SIVB,2017-08-14,No
33622,SIVB,2017-11-14,No
33623,SIVB,2018-02-14,No
33624,SIVB,2018-05-15,No
33625,SIVB,2018-08-14,No
33626,SIVB,2018-11-14,No
33627,SIVB,2019-02-14,No
33628,SIVB,2019-05-15,No
33629,SIVB,2019-08-14,No
33630,SIVB,2019-11-14,No
33631,SIVB,2020-02-14,No
33632,SIVB,2020-05-15,No
33633,SIVB,2020-08-14,No
33634,SIVB,2020-11-14,No
33635,SIVB,2021-02-14,No
33636,SIVB,2021-05-15,No
33637,SIVB,2021-08-14,No
33638,SIVB,2021-11-14,No
33639,SIVB,2022-02-14,No
33640,SIVB,2022-05-15,No
33641,SIVB,2022-08-14,No
33642,SIVB,2022-11-14,No
33643,SIVB,2023-02-14,No
33644,SJM,2000-03-16,No
33645,SJM,2000-06-14,No
33646,SJM,2000-09-14,No
33647,SJM,2000-12-15,No
33648,SJM,2001-03-17,No
33649,SJM,2001-06-14,No
33650,SJM,2001-09-14,No
33651,SJM,2001-12-15,No
33652,SJM,2002-03-17,No
33653,SJM,2002-06-14,No
33654,SJM,2002-09-14,No
33655,SJM,2002-12-15,No
33656,SJM,2003-03-17,No
33657,SJM,2003-06-14,No
